contract,vuln_class,confirmed,attempts,invariant_asserted,evidence
VulnerableVault,reentrancy,true,1,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(self-test reference) vault 30e18 -> 0, attacker +30e18"
DocumentSigner,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)",(solc 0.5.17) test_exploit_drains_victim(): EvmError: Revert
HotDollarsToken,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(solc 0.5.17) Error: Compiler run failed: Error (7006): Cannot set option ""value"" on a non-payable function type. --> src/generated/Attacker.sol:12:9: | 12 | victim.withdrawFunds_re_ent31{value: 1 ether}(1 ether);  ...[truncated]"
ForTheBlockchain,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(solc 0.5.17) Error: Compiler run failed: Error (9862): ""send"" and ""transfer"" are only available for objects of type ""address payable"", not ""address"". --> src/generated/Attacker.sol:13:17: | 13 | require(msg.sender ...[truncated]"
ExclusivePlatform,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)",(solc 0.5.17) test_exploit_drains_victim(): EvmError: Revert
_Yesbuzz,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(solc 0.5.17) your response did not contain the required files: src/generated/Attacker.sol, test/generated/Exploit.t.sol. Emit both files between the exact markers."
ChannelWallet,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(solc 0.5.17) Error: Compiler run failed: Error (7006): Cannot set option ""value"" on a non-payable function type. --> src/generated/Attacker.sol:14:9: | 14 | victim.withdrawBalance_re_ent12{value: 1 ether}(); | ^^^ ...[truncated]"
StableDEX,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)","(solc 0.5.17) Error: Compiler run failed: Error (7407): Type tuple(bool,bytes memory) is not implicitly convertible to expected type bool. --> src/generated/Attacker.sol:18:13: | 18 | if (address(victim).call{value ...[truncated]"
XLToken,reentrancy,false,3,"the victim's ether balance is drained to at or near zero, and the attacker ends up with materially more ether than it deposited (at least the honest pool it stole)",(solc 0.5.17) your response did not contain the required files: test/generated/Exploit.t.sol. Emit both files between the exact markers.
